Time, KP, KD, KI, PID, Angle
3141, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3192, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3229, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3266, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3303, 4.181818181818187, 5.0, 0, 9.181818181818187, 364.0
3341, 4.181818181818187, 0.0, 0, 4.181818181818187, 364.0
3396, 3.681818181818187, 5.0, 0, 8.681818181818187, 364.5
3429, 3.181818181818187, 5.0, 0, 8.181818181818187, 365.0
3459, 2.681818181818187, 5.0, 0.8045454545454561, 8.486363636363643, 365.5
3492, 2.681818181818187, 0.0, 1.609090909090912, 4.290909090909099, 365.5
3529, 1.681818181818187, 10.0, 2.113636363636368, 13.79545454545456, 366.5
3571, 1.681818181818187, 0.0, 2.618181818181824, 4.300000000000011, 366.5
3615, 1.681818181818187, 0.0, 3.122727272727281, 4.804545454545467, 366.5
3649, 1.681818181818187, 0.0, 3.627272727272737, 5.309090909090924, 366.5
3676, 1.681818181818187, 0.0, 4.131818181818192, 5.813636363636379, 366.5
3708, 1.681818181818187, 0.0, 4.636363636363648, 6.318181818181835, 366.5
3738, 1.181818181818187, 5.0, 4.990909090909105, 11.17272727272729, 367.0
3769, 1.181818181818187, 0.0, 5.345454545454561, 6.527272727272748, 367.0
3789, 0.681818181818187, 5.0, 5.550000000000017, 11.23181818181821, 367.5
3818, 0.681818181818187, 0.0, 5.754545454545473, 6.43636363636366, 367.5
3846, 0.181818181818187, 5.0, 5.809090909090929, 10.99090909090912, 368.0
3871, -0.318181818181813, 5.0, 5.713636363636385, 10.39545454545457, 368.5
3898, -0.318181818181813, 0.0, 5.618181818181841, 5.300000000000028, 368.5
3923, -0.818181818181813, 5.0, 5.372727272727297, 9.554545454545483, 369.0
3946, -0.818181818181813, 0.0, 5.127272727272753, 4.30909090909094, 369.0
3978, -0.818181818181813, 0.0, 4.881818181818208, 4.063636363636395, 369.0
4001, -1.318181818181813, 5.0, 4.486363636363665, 8.168181818181852, 369.5
4022, -1.318181818181813, 0.0, 4.090909090909121, 2.772727272727308, 369.5
4062, -1.318181818181813, 0.0, 3.695454545454577, 2.377272727272764, 369.5
4092, -1.318181818181813, 0.0, 3.300000000000034, 1.981818181818221, 369.5
